                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    158,                 187.78,                 89.127,                 169.22,                0.81869,                0.73663,                0.80698,                0.52716,                    nan,                    nan,                    nan,               0.004819,               0.004819,               0.004819
                    159,                 187.82,                 89.422,                 170.23,                0.82911,                0.74001,                0.80555,                 0.5277,                    nan,                    nan,                    nan,               0.004786,               0.004786,               0.004786
                    160,                 187.41,                 89.112,                 169.66,                 0.8234,                0.74719,                0.80551,                0.52705,                    nan,                    nan,                    nan,               0.004753,               0.004753,               0.004753
                    161,                 187.41,                 88.848,                  169.6,                0.81695,                0.74829,                0.80696,                0.52789,                    nan,                    nan,                    nan,                0.00472,                0.00472,                0.00472
                    162,                 187.07,                 89.085,                 169.55,                0.84256,                0.73486,                 0.8085,                 0.5295,                    nan,                    nan,                    nan,               0.004687,               0.004687,               0.004687
                    163,                 187.14,                 88.672,                  169.6,                0.83682,                0.74486,                0.80741,                0.52786,                    nan,                    nan,                    nan,               0.004654,               0.004654,               0.004654
                    164,                 186.62,                 88.292,                 168.59,                0.83833,                0.74375,                0.80876,                0.52839,                    nan,                    nan,                    nan,               0.004621,               0.004621,               0.004621
                    165,                  186.7,                 88.606,                 169.58,                 0.8514,                0.73662,                0.81121,                0.53005,                    nan,                    nan,                    nan,               0.004588,               0.004588,               0.004588
                    166,                 186.53,                 88.527,                 169.81,                0.82162,                0.74701,                0.81054,                0.52857,                    nan,                    nan,                    nan,               0.004555,               0.004555,               0.004555
                    167,                 186.29,                 88.015,                 170.07,                0.84105,                0.73474,                0.80982,                0.52954,                    nan,                    nan,                    nan,               0.004522,               0.004522,               0.004522
                    168,                  186.3,                 87.868,                 168.92,                0.84639,                0.73901,                0.81138,                0.52854,                    nan,                    nan,                    nan,               0.004489,               0.004489,               0.004489
                    169,                 185.59,                 87.887,                 169.36,                0.85706,                0.74284,                0.81064,                0.53018,                    nan,                    nan,                    nan,               0.004456,               0.004456,               0.004456
                    170,                 185.59,                 87.595,                 169.29,                  0.859,                0.74031,                0.81146,                0.52928,                    nan,                    nan,                    nan,               0.004423,               0.004423,               0.004423
                    171,                 185.74,                 87.362,                 169.12,                0.85674,                0.74312,                0.81227,                0.53031,                    nan,                    nan,                    nan,                0.00439,                0.00439,                0.00439
                    172,                 185.59,                 87.553,                 169.25,                0.85448,                0.74421,                0.81398,                0.53137,                    nan,                    nan,                    nan,               0.004357,               0.004357,               0.004357
                    173,                 185.53,                 87.389,                 168.89,                0.84931,                0.74855,                0.81337,                 0.5304,                    nan,                    nan,                    nan,               0.004324,               0.004324,               0.004324
                    174,                 185.39,                 86.981,                  169.4,                0.84857,                  0.749,                0.81544,                0.53288,                    nan,                    nan,                    nan,               0.004291,               0.004291,               0.004291
                    175,                 184.85,                 86.977,                 169.11,                0.84852,                0.74258,                 0.8137,                0.53327,                    nan,                    nan,                    nan,               0.004258,               0.004258,               0.004258
                    176,                 184.98,                 86.701,                 169.12,                0.84233,                 0.7477,                0.81536,                0.53327,                    nan,                    nan,                    nan,               0.004225,               0.004225,               0.004225
                    177,                 184.51,                   86.6,                 168.19,                0.85394,                0.74531,                0.81384,                0.53276,                    nan,                    nan,                    nan,               0.004192,               0.004192,               0.004192
                    178,                 184.06,                 86.411,                  168.3,                0.83933,                0.74953,                0.81401,                 0.5331,                    nan,                    nan,                    nan,               0.004159,               0.004159,               0.004159
                    179,                  184.4,                 86.328,                 168.56,                0.83286,                0.75441,                 0.8169,                0.53393,                    nan,                    nan,                    nan,               0.004126,               0.004126,               0.004126
                    180,                 183.64,                  85.83,                 168.72,                0.83276,                0.75564,                0.81762,                 0.5362,                    nan,                    nan,                    nan,               0.004093,               0.004093,               0.004093
                    181,                 183.59,                 85.529,                 168.17,                0.84894,                0.75443,                0.81785,                0.53546,                    nan,                    nan,                    nan,                0.00406,                0.00406,                0.00406
                    182,                 183.71,                 85.711,                 168.87,                0.85402,                0.75498,                0.81941,                0.53664,                    nan,                    nan,                    nan,               0.004027,               0.004027,               0.004027
                    183,                 183.59,                  85.63,                 168.19,                0.86261,                0.75576,                0.81971,                0.53701,                    nan,                    nan,                    nan,               0.003994,               0.003994,               0.003994
                    184,                 183.33,                 85.557,                 168.17,                0.86615,                0.75099,                0.82067,                0.53791,                    nan,                    nan,                    nan,               0.003961,               0.003961,               0.003961
                    185,                 183.14,                 85.299,                 168.32,                0.86437,                0.75039,                0.82273,                0.53947,                    nan,                    nan,                    nan,               0.003928,               0.003928,               0.003928
                    186,                 182.75,                  84.95,                 167.67,                0.87358,                0.74478,                 0.8225,                0.54018,                    nan,                    nan,                    nan,               0.003895,               0.003895,               0.003895
                    187,                 182.53,                 84.848,                 167.87,                0.87568,                0.74294,                0.82382,                0.54298,                    nan,                    nan,                    nan,               0.003862,               0.003862,               0.003862
                    188,                 182.43,                 84.838,                 167.78,                 0.8621,                0.75466,                0.82422,                0.54281,                    nan,                    nan,                    nan,               0.003829,               0.003829,               0.003829
                    189,                 182.45,                 84.667,                 166.78,                0.85068,                 0.7541,                0.82121,                 0.5419,                    nan,                    nan,                    nan,               0.003796,               0.003796,               0.003796
                    190,                 181.89,                 84.441,                 166.76,                0.84964,                 0.7634,                0.82226,                   0.54,                    nan,                    nan,                    nan,               0.003763,               0.003763,               0.003763
                    191,                 181.91,                 84.183,                 166.32,                0.86389,                0.75239,                0.81914,                0.53961,                    nan,                    nan,                    nan,                0.00373,                0.00373,                0.00373
                    192,                 181.72,                 84.084,                 167.39,                0.85311,                0.76295,                0.82082,                0.53727,                    nan,                    nan,                    nan,               0.003697,               0.003697,               0.003697
                    193,                  181.4,                 83.831,                 167.69,                0.85971,                0.75848,                0.82222,                0.53749,                    nan,                    nan,                    nan,               0.003664,               0.003664,               0.003664
                    194,                 181.35,                 83.934,                 167.32,                0.86698,                0.75142,                0.82143,                0.53895,                    nan,                    nan,                    nan,               0.003631,               0.003631,               0.003631
                    195,                 181.03,                 83.588,                  167.1,                 0.8656,                 0.7552,                0.82497,                0.54094,                    nan,                    nan,                    nan,               0.003598,               0.003598,               0.003598
                    196,                 180.77,                 83.481,                 166.91,                0.86128,                0.75327,                0.82238,                 0.5401,                    nan,                    nan,                    nan,               0.003565,               0.003565,               0.003565
                    197,                 180.26,                 82.976,                 166.84,                0.86057,                0.75383,                0.82246,                0.53785,                    nan,                    nan,                    nan,               0.003532,               0.003532,               0.003532
                    198,                 180.06,                 83.126,                 166.85,                0.87028,                0.75588,                0.82435,                0.53965,                    nan,                    nan,                    nan,               0.003499,               0.003499,               0.003499
                    199,                 180.37,                  83.13,                  166.7,                0.87416,                0.75702,                0.82387,                0.53884,                    nan,                    nan,                    nan,               0.003466,               0.003466,               0.003466
                    200,                 179.74,                 82.599,                 166.33,                0.86746,                0.75442,                0.82376,                0.53926,                    nan,                    nan,                    nan,               0.003433,               0.003433,               0.003433
                    201,                  179.6,                 82.668,                 166.56,                0.82726,                0.78582,                0.82436,                0.53855,                    nan,                    nan,                    nan,                 0.0034,                 0.0034,                 0.0034
                    202,                 179.36,                 82.274,                 166.74,                0.81263,                0.79377,                0.82626,                0.54309,                    nan,                    nan,                    nan,               0.003367,               0.003367,               0.003367
                    203,                 178.85,                  81.78,                 165.45,                0.82748,                0.78425,                0.82611,                0.54286,                    nan,                    nan,                    nan,               0.003334,               0.003334,               0.003334
                    204,                 179.05,                 82.024,                 166.79,                0.83073,                0.78639,                  0.828,                0.54417,                    nan,                    nan,                    nan,               0.003301,               0.003301,               0.003301
                    205,                 178.68,                 81.514,                 165.74,                0.84912,                 0.7749,                0.83318,                0.54849,                    nan,                    nan,                    nan,               0.003268,               0.003268,               0.003268
                    206,                 178.41,                 81.341,                 165.92,                0.84613,                0.77804,                0.83383,                0.54706,                    nan,                    nan,                    nan,               0.003235,               0.003235,               0.003235
                    207,                 177.63,                 81.234,                 165.47,                0.83688,                0.78023,                0.82977,                0.54634,                    nan,                    nan,                    nan,               0.003202,               0.003202,               0.003202
                    208,                    178,                 81.229,                 166.06,                0.79591,                0.79345,                0.82615,                0.54634,                    nan,                    nan,                    nan,               0.003169,               0.003169,               0.003169
                    209,                 177.74,                 80.853,                  165.2,                0.81996,                0.77142,                0.82469,                0.54466,                    nan,                    nan,                    nan,               0.003136,               0.003136,               0.003136
                    210,                 177.48,                 80.771,                 165.22,                0.82479,                0.77771,                0.82697,                0.54703,                    nan,                    nan,                    nan,               0.003103,               0.003103,               0.003103
                    211,                 177.36,                 80.709,                 165.78,                0.86355,                0.76705,                0.83006,                0.54593,                    nan,                    nan,                    nan,                0.00307,                0.00307,                0.00307
                    212,                 176.97,                 80.617,                 166.12,                0.86535,                0.76501,                0.83003,                  0.547,                    nan,                    nan,                    nan,               0.003037,               0.003037,               0.003037
                    213,                  176.3,                 80.242,                  165.4,                0.82313,                0.79839,                 0.8308,                0.54823,                    nan,                    nan,                    nan,               0.003004,               0.003004,               0.003004
                    214,                 176.35,                 80.051,                 165.41,                 0.8219,                0.80171,                0.83138,                0.54886,                    nan,                    nan,                    nan,               0.002971,               0.002971,               0.002971
                    215,                 176.22,                 79.808,                 164.54,                0.82066,                0.79506,                0.83108,                0.54785,                    nan,                    nan,                    nan,               0.002938,               0.002938,               0.002938
                    216,                 175.85,                 79.434,                 164.17,                0.87073,                0.75709,                 0.8286,                0.54755,                    nan,                    nan,                    nan,               0.002905,               0.002905,               0.002905
                    217,                 175.58,                  79.52,                 164.63,                0.85591,                0.77248,                0.82938,                0.54736,                    nan,                    nan,                    nan,               0.002872,               0.002872,               0.002872
                    218,                 175.21,                 79.202,                 164.44,                0.85857,                0.77316,                0.82814,                0.54565,                    nan,                    nan,                    nan,               0.002839,               0.002839,               0.002839
                    219,                 175.01,                 78.898,                 163.11,                0.86084,                0.77087,                0.82923,                0.54848,                    nan,                    nan,                    nan,               0.002806,               0.002806,               0.002806
                    220,                 175.05,                 78.898,                  163.8,                0.82866,                0.79756,                0.82832,                0.54675,                    nan,                    nan,                    nan,               0.002773,               0.002773,               0.002773
                    221,                 174.44,                 78.508,                 163.95,                0.82213,                 0.8028,                0.83076,                0.54707,                    nan,                    nan,                    nan,                0.00274,                0.00274,                0.00274
                    222,                 174.18,                 78.368,                 164.32,                0.85994,                0.77418,                0.83079,                 0.5473,                    nan,                    nan,                    nan,               0.002707,               0.002707,               0.002707
                    223,                 174.28,                  78.23,                 163.94,                0.84912,                0.78153,                0.83137,                0.54812,                    nan,                    nan,                    nan,               0.002674,               0.002674,               0.002674
                    224,                 173.74,                 78.065,                  163.8,                0.87169,                0.76434,                0.83056,                0.54707,                    nan,                    nan,                    nan,               0.002641,               0.002641,               0.002641
                    225,                 173.33,                 77.609,                 164.31,                 0.8551,                0.78621,                0.83082,                0.54523,                    nan,                    nan,                    nan,               0.002608,               0.002608,               0.002608
                    226,                 173.15,                 77.381,                 163.86,                0.89089,                0.76618,                0.83011,                0.54655,                    nan,                    nan,                    nan,               0.002575,               0.002575,               0.002575
                    227,                 172.88,                 77.621,                 164.16,                 0.8809,                0.77238,                0.82962,                0.54561,                    nan,                    nan,                    nan,               0.002542,               0.002542,               0.002542
                    228,                 172.69,                 77.266,                 164.58,                0.86793,                0.77686,                0.83043,                0.54717,                    nan,                    nan,                    nan,               0.002509,               0.002509,               0.002509
                    229,                 172.09,                  76.97,                 162.73,                0.86405,                0.77752,                0.82972,                0.54624,                    nan,                    nan,                    nan,               0.002476,               0.002476,               0.002476
                    230,                 171.83,                 76.551,                 163.18,                0.86955,                0.77783,                0.83176,                0.54816,                    nan,                    nan,                    nan,               0.002443,               0.002443,               0.002443
                    231,                 171.75,                 76.419,                 163.45,                0.84882,                0.78714,                0.82857,                 0.5485,                    nan,                    nan,                    nan,                0.00241,                0.00241,                0.00241
                    232,                  170.9,                  76.19,                 162.87,                0.85611,                0.78188,                0.83002,                0.54702,                    nan,                    nan,                    nan,               0.002377,               0.002377,               0.002377
                    233,                 171.13,                 75.934,                 162.71,                0.84422,                0.79008,                0.83153,                0.54779,                    nan,                    nan,                    nan,               0.002344,               0.002344,               0.002344
                    234,                  170.5,                 75.715,                 162.69,                0.83637,                0.80317,                0.83223,                0.54882,                    nan,                    nan,                    nan,               0.002311,               0.002311,               0.002311
                    235,                 170.44,                 75.595,                    162,                0.86344,                0.77582,                0.83097,                0.54693,                    nan,                    nan,                    nan,               0.002278,               0.002278,               0.002278
                    236,                 169.57,                 75.064,                 162.22,                 0.8452,                0.79953,                0.83118,                 0.5484,                    nan,                    nan,                    nan,               0.002245,               0.002245,               0.002245
                    237,                 169.48,                 74.946,                 162.55,                0.83826,                0.80282,                0.83209,                0.54646,                    nan,                    nan,                    nan,               0.002212,               0.002212,               0.002212
                    238,                  168.8,                 74.617,                 161.19,                0.85413,                0.80049,                0.83223,                0.54688,                    nan,                    nan,                    nan,               0.002179,               0.002179,               0.002179
                    239,                 168.81,                 74.561,                 160.62,                0.87223,                0.78943,                0.83335,                0.54886,                    nan,                    nan,                    nan,               0.002146,               0.002146,               0.002146
                    240,                 168.57,                 74.018,                 160.59,                0.86755,                 0.7903,                0.83101,                0.54821,                    nan,                    nan,                    nan,               0.002113,               0.002113,               0.002113
                    241,                 168.28,                 73.832,                 160.62,                0.85758,                0.79123,                0.83208,                0.54942,                    nan,                    nan,                    nan,                0.00208,                0.00208,                0.00208
                    242,                 167.79,                 73.687,                 160.26,                0.86455,                0.78729,                0.83186,                0.54858,                    nan,                    nan,                    nan,               0.002047,               0.002047,               0.002047
                    243,                 167.13,                 73.169,                 159.92,                0.87211,                0.77665,                0.82988,                0.54788,                    nan,                    nan,                    nan,               0.002014,               0.002014,               0.002014
                    244,                 167.32,                 73.437,                 160.97,                0.88074,                0.77391,                0.83169,                0.54729,                    nan,                    nan,                    nan,               0.001981,               0.001981,               0.001981
                    245,                 166.37,                 72.914,                 160.72,                0.85766,                0.78713,                0.83128,                0.54808,                    nan,                    nan,                    nan,               0.001948,               0.001948,               0.001948
                    246,                 165.95,                 72.518,                 160.63,                0.86052,                0.78837,                0.83156,                0.54825,                    nan,                    nan,                    nan,               0.001915,               0.001915,               0.001915
                    247,                  165.9,                 72.384,                 160.49,                0.86438,                0.78611,                0.83207,                0.54727,                    nan,                    nan,                    nan,               0.001882,               0.001882,               0.001882
                    248,                 165.59,                 72.223,                  160.6,                0.87213,                0.78077,                0.83172,                0.54788,                    nan,                    nan,                    nan,               0.001849,               0.001849,               0.001849
                    249,                  164.7,                 71.723,                 159.12,                0.88711,                0.78162,                0.83418,                0.54959,                    nan,                    nan,                    nan,               0.001816,               0.001816,               0.001816
                    250,                 164.34,                 71.427,                 159.78,                0.89425,                0.78097,                0.83562,                0.55134,                    nan,                    nan,                    nan,               0.001783,               0.001783,               0.001783
                    251,                 163.89,                 71.053,                 159.36,                0.89373,                0.77734,                0.83265,                0.55057,                    nan,                    nan,                    nan,                0.00175,                0.00175,                0.00175
                    252,                 163.67,                 70.821,                 159.86,                0.88945,                 0.7825,                0.83567,                0.55014,                    nan,                    nan,                    nan,               0.001717,               0.001717,               0.001717
                    253,                 163.39,                 70.739,                 159.33,                0.89268,                 0.7791,                0.83604,                0.55048,                    nan,                    nan,                    nan,               0.001684,               0.001684,               0.001684
                    254,                 162.78,                 70.222,                 159.15,                0.90506,                0.76699,                0.83386,                0.55093,                    nan,                    nan,                    nan,               0.001651,               0.001651,               0.001651
                    255,                 162.44,                 70.069,                 158.81,                0.89176,                0.77252,                0.83396,                0.55053,                    nan,                    nan,                    nan,               0.001618,               0.001618,               0.001618
                    256,                 161.87,                 69.713,                 158.27,                 0.8953,                0.76994,                0.83322,                0.55242,                    nan,                    nan,                    nan,               0.001585,               0.001585,               0.001585
                    257,                  161.5,                 69.635,                 157.72,                0.88231,                0.77484,                0.83342,                0.55426,                    nan,                    nan,                    nan,               0.001552,               0.001552,               0.001552
                    258,                 160.92,                 69.234,                 157.59,                0.87613,                0.77733,                0.83488,                0.55783,                    nan,                    nan,                    nan,               0.001519,               0.001519,               0.001519
                    259,                 160.48,                 68.785,                 157.99,                0.88434,                0.77091,                0.83389,                 0.5577,                    nan,                    nan,                    nan,               0.001486,               0.001486,               0.001486
                    260,                 160.17,                 68.465,                  157.8,                0.88056,                0.77455,                 0.8333,                0.55675,                    nan,                    nan,                    nan,               0.001453,               0.001453,               0.001453
