epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.4883,2.30925,6.2722,1.76071,0,0,0,0,2.08549,5.68006,1.54104,2.15162e-05,2.15162e-05,2.15162e-05
2,88.5247,2.10424,6.14157,1.59926,0.00665,0.0049,0.00435,0.00351,2.005,5.5472,1.45526,2.89325e-05,2.89325e-05,2.89325e-05
3,132.678,2.08399,6.07259,1.54861,0.00543,0.00733,0.00445,0.0031,1.98315,5.46848,1.40998,2.20488e-05,2.20488e-05,2.20488e-05
