                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2646,                 6.2988,                 1.7497,                      0,                      0,                      0,                      0,                 2.0752,                 6.3045,                 1.5142,             2.1516e-05,             2.1516e-05,             2.1516e-05
                      2,                 2.0835,                 6.0466,                 1.6012,                0.00255,                0.00274,                0.00171,                0.00096,                 2.0186,                 6.2014,                  1.459,             2.8933e-05,             2.8933e-05,             2.8933e-05
                      3,                 2.0505,                  6.035,                 1.5365,                0.00336,                0.00517,                0.00261,                0.00146,                 1.9788,                  6.112,                 1.4196,             2.2049e-05,             2.2049e-05,             2.2049e-05
