epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,287.411,2.30019,6.27042,1.75202,0,0,0,0,2.09337,5.62904,1.53745,2.15162e-05,2.15162e-05,2.15162e-05
2,323.863,2.0794,6.07267,1.57571,0.00431,0.00212,0.00308,0.00207,1.98783,5.43242,1.43955,3.46327e-05,3.46327e-05,3.46327e-05
3,359.62,2.06563,5.85095,1.51204,0.00482,0.02194,0.00424,0.00295,1.95614,5.15424,1.37253,3.91691e-05,3.91691e-05,3.91691e-05
4,395.17,2.00164,5.50407,1.44059,0.0111,0.05505,0.00986,0.00651,1.9533,4.93121,1.34769,2.639e-05,2.639e-05,2.639e-05
5,431.129,2.05669,5.45234,1.43196,0.007,0.06459,0.00873,0.00592,1.95334,4.88271,1.35476,1.352e-05,1.352e-05,1.352e-05
