                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3763,                 7.2695,                 1.7522,                      0,                      0,                      0,                      0,                 2.1343,                 6.5952,                 1.5093,               1.69e-05,               1.69e-05,               1.69e-05
                      2,                 2.3489,                 7.0033,                 1.6984,                      0,                      0,                      0,                      0,                 2.0718,                 6.5455,                 1.4671,             2.3081e-05,             2.3081e-05,             2.3081e-05
                      3,                  2.303,                 6.7959,                 1.7138,                      0,                      0,                      0,                      0,                 2.0639,                 6.5387,                 1.4562,              1.768e-05,              1.768e-05,              1.768e-05
