# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
3,942205001_cam3_frame_850.png,850,718.0581,836.1758,906.9465,1009.6947,0.7860393,-1,LUTJANUSCAMPECHANUS-170151107,0.7860393
1,942205001_cam3_frame_851.png,851,522.2323,332.93747,696.7019,440.38733,0.86761403,-1,LUTJANUSCAMPECHANUS-170151107,0.86761403
2,942205001_cam3_frame_851.png,851,718.88837,824.3812,903.1333,983.04114,0.8400899,-1,LUTJANUSCAMPECHANUS-170151107,0.8400899
3,942205001_cam3_frame_851.png,851,932.8497,758.7536,1190.0454,924.6112,0.8051498,-1,LUTJANUSCAMPECHANUS-170151107,0.8051498
1,942205001_cam3_frame_852.png,852,594.6199,794.4247,877.6781,956.9643,0.86656946,-1,LUTJANUSCAMPECHANUS-170151107,0.86656946
2,942205001_cam3_frame_852.png,852,461.25366,316.347,699.4191,427.5812,0.8661775,-1,LUTJANUSCAMPECHANUS-170151107,0.8661775
3,942205001_cam3_frame_852.png,852,877.03766,762.80743,1139.8108,935.5408,0.78352237,-1,LUTJANUSCAMPECHANUS-170151107,0.78352237
4,942205001_cam3_frame_852.png,852,151.16565,784.28723,312.67188,935.8213,0.718878,-1,LUTJANUSCAMPECHANUS-170151107,0.718878
1,942205001_cam3_frame_853.png,853,401.73547,298.71393,682.73065,425.1985,0.87867147,-1,LUTJANUSCAMPECHANUS-170151107,0.87867147
2,942205001_cam3_frame_853.png,853,560.6388,774.77875,872.42615,943.9369,0.8223131,-1,LUTJANUSCAMPECHANUS-170151107,0.8223131
3,942205001_cam3_frame_853.png,853,833.20807,758.58203,1119.2435,926.5977,0.77767533,-1,LUTJANUSCAMPECHANUS-170151107,0.77767533
4,942205001_cam3_frame_853.png,853,159.21767,754.13196,372.57965,922.3724,0.7063778,-1,LUTJANUSCAMPECHANUS-170151107,0.7063778
1,942205001_cam3_frame_854.png,854,329.33286,276.7164,583.4449,396.80887,0.86052626,-1,LUTJANUSCAMPECHANUS-170151107,0.86052626
2,942205001_cam3_frame_854.png,854,191.27657,761.9851,401.6076,886.51373,0.83107305,-1,LUTJANUSCAMPECHANUS-170151107,0.83107305
3,942205001_cam3_frame_854.png,854,714.19336,746.6982,900.00476,887.5946,0.8176293,-1,LUTJANUSCAMPECHANUS-170151107,0.8176293
4,942205001_cam3_frame_854.png,854,1430.0541,74.77138,1569.4534,130.6721,0.67178196,-1,LUTJANUSCAMPECHANUS-170151107,0.67178196
5,942205001_cam3_frame_854.png,854,851.9906,227.71019,1093.8337,357.06915,0.6208594,-1,LUTJANUSCAMPECHANUS-170151107,0.6208594
1,942205001_cam3_frame_855.png,855,243.60959,246.96913,541.6873,390.61346,0.86359304,-1,LUTJANUSCAMPECHANUS-170151107,0.86359304
2,942205001_cam3_frame_855.png,855,711.0321,705.8249,952.26074,861.8692,0.7847069,-1,LUTJANUSCAMPECHANUS-170151107,0.7847069
3,942205001_cam3_frame_855.png,855,575.5054,813.427,927.6832,1011.7822,0.7136731,-1,LUTJANUSCAMPECHANUS-170151107,0.7136731
4,942205001_cam3_frame_855.png,855,238.44168,734.5359,444.6037,863.197,0.5578359,-1,LUTJANUSCAMPECHANUS-170151107,0.5578359
1,942205001_cam3_frame_856.png,856,721.1242,671.8709,1001.4324,822.04083,0.9060346,-1,LUTJANUSCAMPECHANUS-170151107,0.9060346
2,942205001_cam3_frame_856.png,856,170.53946,221.41667,460.15125,357.66998,0.8666804,-1,LUTJANUSCAMPECHANUS-170151107,0.8666804
3,942205001_cam3_frame_856.png,856,467.54507,838.40753,842.64197,1066.6306,0.77802795,-1,LUTJANUSCAMPECHANUS-170151107,0.77802795
4,942205001_cam3_frame_856.png,856,181.726,714.9833,480.89465,846.9082,0.7570225,-1,LUTJANUSCAMPECHANUS-170151107,0.7570225
1,942205001_cam3_frame_857.png,857,738.36084,642.1581,994.56934,795.85754,0.9035421,-1,LUTJANUSCAMPECHANUS-170151107,0.9035421
2,942205001_cam3_frame_857.png,857,201.07819,693.27704,506.2598,851.3258,0.8067022,-1,LUTJANUSCAMPECHANUS-170151107,0.8067022
3,942205001_cam3_frame_857.png,857,369.6673,883.0558,678.03064,1122.1313,0.78138113,-1,LUTJANUSCAMPECHANUS-170151107,0.78138113
4,942205001_cam3_frame_857.png,857,751.2116,177.62924,933.04266,275.9653,0.77220136,-1,LUTJANUSCAMPECHANUS-170151107,0.77220136
5,942205001_cam3_frame_857.png,857,161.77426,201.62343,372.15402,338.41406,0.72600555,-1,LUTJANUSCAMPECHANUS-170151107,0.72600555
1,942205001_cam3_frame_858.png,858,789.52826,615.7638,988.8087,774.71814,0.88947034,-1,LUTJANUSCAMPECHANUS-170151107,0.88947034
2,942205001_cam3_frame_858.png,858,192.0,684.74554,574.25885,868.24585,0.76323485,-1,LUTJANUSCAMPECHANUS-170151107,0.76323485
3,942205001_cam3_frame_858.png,858,259.8709,903.46216,649.907,1168.4817,0.708982,-1,LUTJANUSCAMPECHANUS-170151107,0.708982
1,942205001_cam3_frame_859.png,859,803.69403,590.4725,984.26404,750.3565,0.8461382,-1,LUTJANUSCAMPECHANUS-170151107,0.8461382
2,942205001_cam3_frame_859.png,859,240.96991,684.6566,610.7814,853.03766,0.8131182,-1,LUTJANUSCAMPECHANUS-170151107,0.8131182
1,942205001_cam3_frame_860.png,860,814.84296,565.1803,957.0967,720.43726,0.8586387,-1,LUTJANUSCAMPECHANUS-170151107,0.8586387
2,942205001_cam3_frame_860.png,860,315.42642,704.9846,627.36053,862.0706,0.8418713,-1,LUTJANUSCAMPECHANUS-170151107,0.8418713
3,942205001_cam3_frame_860.png,860,145.9881,964.6218,470.23492,1171.5043,0.564809,-1,LUTJANUSCAMPECHANUS-170151107,0.564809
1,942205001_cam3_frame_861.png,861,799.7578,533.82495,944.90076,699.9031,0.86270165,-1,LUTJANUSCAMPECHANUS-170151107,0.86270165
2,942205001_cam3_frame_861.png,861,320.2274,690.24646,654.9249,886.96436,0.8357772,-1,LUTJANUSCAMPECHANUS-170151107,0.8357772
1,942205001_cam3_frame_862.png,862,767.81714,504.85583,940.62506,673.83563,0.87752396,-1,LUTJANUSCAMPECHANUS-170151107,0.87752396
2,942205001_cam3_frame_862.png,862,368.34988,701.30945,664.0481,903.74506,0.619338,-1,RHOMBOPLITESAURORUBENS-170152001,0.619338
1,942205001_cam3_frame_863.png,863,722.44836,480.1173,944.5742,644.23193,0.9027554,-1,LUTJANUSCAMPECHANUS-170151107,0.9027554
1,942205001_cam3_frame_864.png,864,586.651,448.7505,928.1314,611.10596,0.9054603,-1,LUTJANUSCAMPECHANUS-170151107,0.9054603
1,942205001_cam3_frame_865.png,865,496.42255,407.7746,840.7313,598.0404,0.9130266,-1,LUTJANUSCAMPECHANUS-170151107,0.9130266
1,942205001_cam3_frame_866.png,866,417.24985,406.9358,739.04065,571.3085,0.87449956,-1,LUTJANUSCAMPECHANUS-170151107,0.87449956
1,942205001_cam3_frame_867.png,867,314.609,396.92734,631.187,555.8977,0.9056963,-1,LUTJANUSCAMPECHANUS-170151107,0.9056963
